mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
17	17	135/2	135/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	285								
17	17	271/4	271/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	286								
18	18	68	68	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	287								45
18	18	69	69	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	288								
18	18	70	70	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	289								46
18	18	71	71	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	290								
18	18	68	68	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	291								
18	18	273/4	273/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	292								
18	18	137/2	137/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	293								
18	18	275/4	275/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	294								
18	18	69	69	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	295								
18	18	277/4	277/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	296								
18	18	139/2	139/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	297								
18	18	279/4	279/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	298								
18	18	70	70	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	299								
18	18	281/4	281/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	300								
18	18	141/2	141/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	301								
18	18	283/4	283/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	302								
18	18	71	71	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	303								
18	18	285/4	285/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	304								
18	18	143/2	143/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	305								
18	18	287/4	287/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	306								
19	19	289/4	289/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	307								47
19	19	145/2	145/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	308								47
19	19	291/4	291/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	309								
19	19	73	73	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	310								48
19	19	147/2	147/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	311								
19	19	297/4	297/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	312								49
19	19	149/2	149/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	313								
19	19	299/4	299/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	314								
19	19	75	75	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	315								50
19	19	151/2	151/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	316								
19	19	72	72	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	317								
19	19	293/4	293/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	318								
19	19	147/2	147/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	319								
19	19	295/4	295/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	320								
19	19	74	74	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	321								
19	19	301/4	301/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	322								
19	19	151/2	151/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	323								
19	19	303/4	303/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	324								
20	20	305/4	305/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	325								51
20	20	153/2	153/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	326								51
20	20	307/4	307/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	327								51
20	20	77	77	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	328								51
20	20	309/4	309/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	329								51
20	20	155/2	155/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	330								51
20	20	311/4	311/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	331								
20	20	78	78	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	332								52
20	20	79	79	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	333								
20	20	317/4	317/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	334								53
20	20	159/2	159/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	335								53
20	20	319/4	319/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	336								
20	20	76	76	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	337								
20	20	78	78	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	338								54
20	20	313/4	313/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	339								54
20	20	157/2	157/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	340								54
20	20	315/4	315/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	341								
20	20	79	79	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	342								
20	20	78	78	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	343								
20	20	79	79	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	344								
21	21	80	80	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	345								55
21	21	323/4	323/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	346								
21	21	81	81	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	347	articStaccatoAbove							
21	21	82	82	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	348								56
21	21	331/4	331/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	349								
21	21	83	83	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	350	articStaccatoAbove							
21	21	80	80	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	351								
21	21	321/4	321/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	352								
21	21	161/2	161/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	353								
21	21	323/4	323/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	354								
21	21	81	81	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	355								
21	21	325/4	325/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	356								
21	21	163/2	163/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	357								
21	21	327/4	327/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	358								
21	21	82	82	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	359								
21	21	329/4	329/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	360								
21	21	165/2	165/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	361								
21	21	331/4	331/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	362								
21	21	83	83	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	363								
21	21	333/4	333/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	364								
21	21	167/2	167/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	365								
21	21	335/4	335/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	366								
22	22	337/4	337/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	367								57
22	22	169/2	169/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	368								57
22	22	339/4	339/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	369								
22	22	85	85	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	370								58
22	22	341/4	341/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	371								
22	22	171/2	171/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	372								59
22	22	343/4	343/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	373								
22	22	86	86	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	374								60
22	22	87	87	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	375								
22	22	84	84	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	376								
22	22	85	85	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	377								
22	22	171/2	171/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	378								
22	22	86	86	0.25		1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	379								
22	22	345/4	345/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	380								
22	22	173/2	173/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	381								
22	22	347/4	347/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	382								
22	22	87	87	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	383								
22	22	349/4	349/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	384								
22	22	175/2	175/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	385								
22	22	351/4	351/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	386								
23	23	353/4	353/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	387								61
23	23	177/2	177/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	388								
23	23	355/4	355/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	389								
23	23	89	89	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	390								
23	23	179/2	179/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	391								
23	23	361/4	361/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	392								62
23	23	181/2	181/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	393								62
23	23	363/4	363/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	394								62
23	23	91	91	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	395								
23	23	183/2	183/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	396								
23	23	88	88	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	397								
23	23	357/4	357/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	398								
23	23	179/2	179/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	399								
23	23	359/4	359/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	400								
23	23	90	90	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	401								
23	23	365/4	365/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	402								
23	23	183/2	183/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	403								
23	23	367/4	367/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	404								
24	24		369/4	0.25	1	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	405								
24	24		371/4	0.25	1	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	406								
24	24		373/4	0.25	1	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	407								
24	24		375/4	0.25	1	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	408								
24	24		377/4	0.25	1	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	409								63
24	24		189/2	0.25	1	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	410								63
24	24		379/4	0.25	1	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	411								63
24	24		95	0.25	1	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	412								63
24	24		381/4	0.25	1	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	413								63
24	24		191/2	0.25	1	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	414								63
24	24		383/4	0.25	1	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	415								
24	24		92	0.25	1	0	0	Chord	4/4	2	1	1/16	1/16	1	416								
24	24		185/2	0.25	1	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	417								
24	24		93	0.25	1	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	418								
24	24		187/2	0.25	1	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	419								
24	24		94	1.0	1	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	420								
25	24	369/4	385/4	0.25	2	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	421								
25	24	371/4	387/4	0.25	2	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	422								
25	24	373/4	389/4	0.25	2	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	423								
25	24	375/4	391/4	0.25	2	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	424								
25	24	377/4	393/4	0.25	2	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	425								64
25	24	189/2	197/2	0.25	2	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	426								64
25	24	379/4	395/4	0.25	2	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	427								
25	24	95	99	1.0	2	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	428								
25	24	92	96	0.25	2	0	0	Chord	4/4	2	1	1/16	1/16	1	429								
25	24	185/2	193/2	0.25	2	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	430								
25	24	93	97	0.25	2	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	431								
25	24	187/2	195/2	0.25	2	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	432								
25	24	94	98	1.0	2	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	433								
25	24	381/4	397/4	0.25	2	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	434								65
25	24	191/2	199/2	0.25	2	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	435								65
25	24	383/4	399/4	0.25	2	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	436								
26	25	96	100	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	437								
26	25	385/4	401/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	438								66
26	25	193/2	201/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	439								66
26	25	387/4	403/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	440								
26	25	97	101	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	441								
26	25	98	102	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	442								
26	25	393/4	409/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	443								
26	25	197/2	205/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	444								
26	25	395/4	411/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	445								
26	25	99	103	1.0		3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	446								
26	25	96	100	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	447								
26	25	97	101	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	448								
26	25	389/4	405/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	449								67
26	25	195/2	203/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	450								67
26	25	391/4	407/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	451								
26	25	98	102	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	452								
26	25	99	103	0.25		3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	453								
26	25	397/4	413/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	454								68
26	25	199/2	207/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	455								68
26	25	399/4	415/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	456								
27	26	100	104	0.25		0	0	Chord	4/4	1	1	1/16	1/16	1	457								
27	26	401/4	417/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	458								69
27	26	201/2	209/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	459								69
27	26	403/4	419/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	460								
27	26	101	105	1.0		1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	461								
27	26	102	106	0.25		1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	462								
27	26	409/4	425/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	463								70
27	26	205/2	213/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	464								70
27	26	411/4	427/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	465								70
27	26	103	107	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	466								70
27	26	413/4	429/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	467								70
27	26	207/2	215/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	468								70
27	26	415/4	431/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	469								
27	26	100	104	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	470								
27	26	101	105	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	471								
27	26	405/4	421/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	472								71
27	26	203/2	211/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	473								71
27	26	407/4	423/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	474								
27	26	102	106	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	475								
28	27	104	108	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	476								72
28	27	419/4	435/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	477								
28	27	105	109	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	478	articStaccatoAbove							
28	27	425/4	441/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	479								73
28	27	213/2	221/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	480								73
28	27	427/4	443/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	481								73
28	27	107	111	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	482								73
28	27	429/4	445/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	483								73
28	27	215/2	223/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	484								73
28	27	431/4	447/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	485								
28	27	104	108	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	486								
28	27	105	109	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	487								
29	28	108	112	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	488								74
29	28	109	113	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	489								74
29	28	219/2	227/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	490								74
29	28	110	114	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	491								
29	28	221/2	229/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	492								75
29	28	111	115	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	493								75
29	28	223/2	231/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	494								75
29	28	223/2	231/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	495								
29	28	108	112	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	496								
29	28	219/2	227/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	497								
29	28	110	114	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	498								
29	28	223/2	231/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	499								76
30	29	112	116	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	500								
30	29	225/2	233/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	501								77
30	29	113	117	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	502								77
30	29	227/2	235/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	503								
30	29	114	118	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	504								78
30	29	459/4	475/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	505								
30	29	115	119	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	506								79
30	29	461/4	477/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	507								
30	29	231/2	239/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	508								
30	29	463/4	479/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	509								
30	29	112	116	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	510								
30	29	114	118	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	511								
30	29	115	119	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	512								
30	29	112	116	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	513								76
30	29	225/2	233/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	514								76
30	29	113	117	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	515								76
30	29	227/2	235/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	516								
30	29	114	118	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	517								
30	29	115	119	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	518								
31	30	116	120	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	519								80
31	30	117	121	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	520								80
31	30	235/2	243/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	521								
31	30	118	122	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	522	articStaccatoAbove							
31	30	237/2	245/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	523	articStaccatoAbove							
31	30	119	123	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	524	articStaccatoAbove							
31	30	239/2	247/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	525	articStaccatoAbove							
31	30	116	120	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	526								
31	30	118	122	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	527								
31	30	237/2	245/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	528								
31	30	119	123	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	529								
31	30	116	120	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	530								81
31	30	117	121	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	531								81
31	30	235/2	243/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	532								
31	30	118	122	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	533	articStaccatoAbove							
31	30	237/2	245/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	534	articStaccatoAbove							
31	30	119	123	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	535	articStaccatoAbove							
31	30	239/2	247/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	536	articStaccatoAbove							
32	31	120	124	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	537								
32	31	241/2	249/2	0.125		1/8	1/8	Chord	4/4	1	1	1/32	1/32	1	538								82
32	31	965/8	997/8	0.125		5/32	5/32	Chord	4/4	1	1	1/32	1/32	1	539								82
32	31	483/4	499/4	0.125		3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	540								82
32	31	967/8	999/8	0.125		7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	541								
32	31	121	125	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	542								
32	31	243/2	251/2	0.125		3/8	3/8	Chord	4/4	1	1	1/32	1/32	1	543								83
32	31	973/8	1005/8	0.125		13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	544								83
32	31	487/4	503/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	545								83
32	31	975/8	1007/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	546								
32	31	122	126	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	547								84
32	31	123	127	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	548								
32	31	120	124	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	549								
32	31	241/2	249/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	550								
32	31	121	125	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	551								
32	31	243/2	251/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	552								
32	31	122	126	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	553								85
32	31	123	127	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	554								
32	31	121	125	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	555								
32	31	122	126	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	556								
32	31	123	127	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	557								
33	32	124	128	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	558								86
33	32	125	129	0.25		1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	559								87
33	32	501/4	517/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	560								87
33	32	251/2	259/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	561								87
33	32	503/4	519/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	562								
33	32	126	130	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	563								88
33	32	507/4	523/4	0.125		11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	564								88
33	32	1015/8	1047/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	565								
33	32	127	131	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	566								
33	32	124	128	0.25		0	0	Chord	4/4	2	1	1/16	1/16	1	567								
33	32	497/4	513/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	568								
33	32	249/2	257/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	569								
33	32	499/4	515/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	570								
33	32	125	129	0.25		1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	571								
33	32	501/4	517/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	572								
33	32	251/2	259/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	573								
33	32	503/4	519/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	574								
