mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur	Trill:trill	crescendo_line
91	90	268	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	577								
92	91	271	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	578						61		
92	91	543/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	579						61		
92	91	272	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	580						61		
92	91	545/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	581						61		
92	91	273	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	582						61		
92	91	547/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	583								
92	91	271	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	584								
92	91	272	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	585								
92	91	273	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	586								
93	92	274	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	587						62		
93	92	549/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	588						62		
93	92	275	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	589						62		
93	92	551/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	590						62		
93	92	276	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	591						62		
93	92	553/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	592								
93	92	274	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	593								
94	93	277	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	594						63		
94	93	555/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	595						63		
94	93	278	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	596						63		
94	93	557/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	597						63		
94	93	279	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	598						63		
94	93	559/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	599								
94	93	277	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	600						64		
94	93	278	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	601						64		
94	93	279	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	602						64		
95	94	280	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	603						65		
95	94	561/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	604						65		
95	94	281	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	605						65		
95	94	563/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	606						65		
95	94	282	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	607						65		
95	94	565/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	608						65		
95	94	280	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	609								
96	95	283	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	610						65		
96	95	567/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	611						65		
96	95	284	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	612						65		
96	95	569/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	613						65		
96	95	285	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	614						65		
96	95	571/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	615								
96	95	283	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	616						66		
96	95	284	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	617						66		
96	95	285	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	618						66		
97	96	286	0.0	0	0	Dynamic	3/4	1	1	0						f							
97	96	286	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	619						67		
97	96	575/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	620						67		
97	96	288	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	621						67		
97	96	577/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	622								
97	96	286	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	623								
98	97	289	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	624						68		
98	97	579/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	625						68		
98	97	290	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	626						68		
98	97	581/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	627						68		
98	97	291	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	628						68		
98	97	583/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	629								
99	98	292	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	630						69		
99	98	585/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	631						69		
99	98	293	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	632						69		
99	98	587/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	633						69		
99	98	294	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	634						69		
99	98	589/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	635								
99	98	292	0.0	0	0	Dynamic	3/4	2	1	0						f							
99	98	292	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	636								
100	99	295	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	637						70		
100	99	591/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	638						70		
100	99	296	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	639						70		
100	99	593/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	640						70		
100	99	297	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	641						70		
100	99	595/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	642								
100	99	295	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	643								
101	100	298	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	644						71		
101	100	597/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	645						71		
101	100	299	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	646						71		
101	100	599/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	647						71		
101	100	300	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	648						71		
101	100	601/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	649								
101	100	298	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	650								
102	101	301	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	651						72		
102	101	603/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	652						72		
102	101	302	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	653						72		
102	101	605/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	654						72		
102	101	303	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	655						72		
102	101	607/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	656								
102	101	301	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	657								
103	102	304	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	658								
103	102	304	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	659								
104	103	309	0.0	1/2	1/2	Dynamic	3/4	1	1	0						p							
104	103	309	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	660								
105	104	310	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	661						73		
105	104	311	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	662						73		
105	104	312	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	663								
105	104	310	0.0	0	0	Dynamic	3/4	2	1	0						p							
105	104	310	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	664								
106	105	313	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	665						74		
106	105	314	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	666								
106	105	315	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	667								
106	105	313	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	668								
107	106	316	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	669						75		
107	106	317	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	670						75		
107	106	318	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	671								
107	106	316	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	672								
108	107	319	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	673						76		
108	107	320	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	674								
108	107	321	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	675								
108	107	319	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	676								
109	108	322	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	677						77		
109	108	323	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	678						77		
109	108	324	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	679								
109	108	322	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	680								
109	108	322	2.0	0	0	Chord	3/4	2	2	1/2			1/2	1	681								
109	108	324	1.0	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	682								
110	109	325	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	683						78		
110	109	326	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	684								
110	109	327	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	685								
110	109	325	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	686								
110	109	327	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	687								
110	109	325	2.0	0	0	Chord	3/4	2	2	1/2			1/2	1	688								
110	109	327	1.0	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	689								
111	110	328	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	690						79		
111	110	329	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	691								
111	110	330	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	692								
111	110	328	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	693								
111	110	328	2.0	0	0	Chord	3/4	2	2	1/2			1/2	1	694								
111	110	330	1.0	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	695								
112	111	331	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	696						80		
112	111	332	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	697								
112	111	333	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	698								
112	111	331	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	699								
112	111	332	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	700								
112	111	331	2.0	0	0	Chord	3/4	2	2	1/2			1/2	1	701								
113	112	334	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	702						81		
113	112	335	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	703						81		
113	112	336	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	704								
113	112	334	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	705								
114	113	337	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	706						82		
114	113	338	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	707								
114	113	339	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	708								
114	113	337	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	709								
115	114	340	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	710						83		
115	114	341	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	711						83		
115	114	342	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	712								
115	114	340	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	713								
116	115	343	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	714						84		
116	115	344	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	715								
116	115	345	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	716								
116	115	343	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	717								
117	116	346	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	718						85		
117	116	347	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	719						85		
117	116	348	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	720								
117	116	346	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	721						86		
117	116	348	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	722								
117	116	346	3.0	0	0	Chord	3/4	2	2	3/4			1/2	3/2	723								
118	117	349	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	724						87		
118	117	350	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	725						87		
118	117	351	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	726								
118	117	349	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	727								
118	117	349	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	728								
118	117	350	1.0	1/4	1/4	Chord	3/4	2	2	1/4			1/4	1	729								
118	117	351	1.0	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	730								
119	118	352	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	731						88		
119	118	353	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	732						88		
119	118	354	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	733								
119	118	352	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	734								
119	118	354	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	735								
120	119	355	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	736								
120	119	357	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f							
120	119	357	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	737								
120	119	357	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	738								
120	119	715/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	739								
120	119	1431/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	740								
120	119	355	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	741								
121	120	358	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	742								
121	120	359	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	743								
121	120	360	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	744								
121	120	358	0.0	0	0	Dynamic	3/4	2	1	0						f							
121	120	358	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	745								
121	120	359	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	746								
121	120	360	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	747								
121	120	358	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	748								
121	120	717/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	749								
121	120	359	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	750								
121	120	719/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	751								
121	120	360	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	752								
121	120	721/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	753								
122	121	361	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	754								
122	121	363	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	755								
122	121	363	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	756								
122	121	727/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	757								
122	121	1455/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	758								
122	121	361	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	759								
122	121	362	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	760								
122	121	363	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	761								
122	121	361	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	762								
122	121	723/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	763								
122	121	362	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	764								
122	121	725/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	765								
122	121	363	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	766								
122	121	727/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	767								
123	122	364	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	768								
123	122	365	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	769								
123	122	366	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	770								
123	122	364	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	771								
123	122	365	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	772								
123	122	366	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	773								
123	122	364	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	774								
123	122	729/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	775								
123	122	365	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	776								
123	122	731/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	777								
123	122	366	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	778								
123	122	733/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	779								
124	123	367	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	780								
124	123	369	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	781								
124	123	369	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	782								
124	123	739/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	783								
124	123	1479/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	784								
124	123	367	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	785								
124	123	368	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	786								
124	123	369	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	787								
124	123	367	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	788								
124	123	735/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	789								
124	123	368	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	790								
124	123	737/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	791								
124	123	369	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	792								
124	123	739/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	793								
125	124	370	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	794								
125	124	371	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	795		articStaccatoBelow						
125	124	372	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	796		articStaccatoAbove						
126	125	373	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	797								
126	125	374	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	798		articStaccatoBelow						
126	125	375	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	799		articStaccatoAbove						
127	126	377	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	800								
127	126	378	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	801								
127	126	376	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	802								
128	127	379	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	803								
128	127	379	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	804								
130	129	385	0.0	0	0	Dynamic	3/4	1	1	0						p							
130	129	385	3.0	0	0	Chord	3/4	1	1	3/4			1/2	3/2	805						89		
131	130	388	3.0	0	0	Chord	3/4	1	1	3/4			1/2	3/2	806								
131	130	388	0.0	0	0	Dynamic	3/4	2	1	0						p							
131	130	388	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	807								
132	131	391	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	808								
132	131	785/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	809								
132	131	393	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	810								
132	131	391	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	811						90		
132	131	393	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	812								
133	132	394	0.0	0	0	Chord	3/4	1	1	0	grace16		1/16	1	813								
133	132	394	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	814								
133	132	395	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	815								
133	132	396	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	816								
133	132	394	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	817								
133	132	395	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	818								
133	132	396	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	819								
134	133	397	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	820								
134	133	399	0.0	1/2	1/2	Dynamic	3/4	1	1	0						f							
134	133	399	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	821								
134	133	399	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	822								
134	133	799/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	823								
134	133	1599/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	824								
134	133	397	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	825								
135	134	400	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	826								
135	134	401	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	827								
135	134	402	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	828								
135	134	400	0.0	0	0	Dynamic	3/4	2	1	0						f							
135	134	400	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	829								
135	134	401	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	830								
135	134	402	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	831								
135	134	400	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	832								
135	134	801/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	833								
135	134	401	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	834								
135	134	803/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	835								
135	134	402	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	836								
135	134	805/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	837								
136	135	403	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	838								
136	135	405	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	839								
136	135	405	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	840								
136	135	811/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	841								
136	135	1623/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	842								
136	135	403	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	843								
136	135	404	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	844								
136	135	405	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	845								
136	135	403	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	846								
136	135	807/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	847								
136	135	404	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	848								
136	135	809/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	849								
136	135	405	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	850								
136	135	811/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	851								
137	136	406	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	852								
137	136	407	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	853								
137	136	408	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	854								
137	136	406	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	855								
137	136	407	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	856								
137	136	408	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	857								
137	136	406	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	858								
137	136	813/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	859								
137	136	407	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	860								
137	136	815/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	861								
137	136	408	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	862								
137	136	817/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	863								
138	137	409	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	864								
138	137	411	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16		1/16	1	865								
138	137	411	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	866								
138	137	823/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	867								
138	137	1647/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	868								
138	137	409	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	869								
138	137	410	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	870								
138	137	411	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	871								
138	137	409	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	872								
138	137	819/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	873								
138	137	410	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	874								
138	137	821/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	875								
138	137	411	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	876								
138	137	823/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	877								
139	138	412	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	878								
139	138	413	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	879		articStaccatoBelow						
139	138	414	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	880		articStaccatoAbove						
140	139	415	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	881								
140	139	416	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	882		articStaccatoBelow						
140	139	417	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	883		articStaccatoAbove						
141	140	419	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	884								
141	140	420	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	885								
141	140	418	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	886								
142	141	421	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	887								
142	141	421	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	888								
144	143	428	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	889								
144	143	429	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	890								
